name,director,writer,star
The Shining,Stanley Kubrick,Stephen King,Jack Nicholson
The Blue Lagoon,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Leigh Brackett,Mark Hamill
Airplane!,Jim Abrahams,Jim Abrahams,Robert Hays
Caddyshack,Harold Ramis,Brian Doyle-Murray,Chevy Chase
Friday the 13th,Sean S. Cunningham,Victor Miller,Betsy Palmer
The Blues Brothers,John Landis,Dan Aykroyd,John Belushi
Raging Bull,Martin Scorsese,Jake LaMotta,Robert De Niro
Superman II,Richard Lester,Jerry Siegel,Gene Hackman
The Long Riders,Walter Hill,Bill Bryden,David Carradine
Any Which Way You Can,Buddy Van Horn,Stanford Sherman,Clint Eastwood
The Gods Must Be Crazy,Jamie Uys,Jamie Uys,N!xau
Popeye,Robert Altman,Jules Feiffer,Robin Williams
Ordinary People,Robert Redford,Judith Guest,Donald Sutherland
Dressed to Kill,Brian De Palma,Brian De Palma,Michael Caine
Somewhere in Time,Jeannot Szwarc,Richard Matheson,Christopher Reeve
9 to 5,Colin Higgins,Patricia Resnick,Jane Fonda
The Fog,John Carpenter,John Carpenter,Adrienne Barbeau
Cruising,William Friedkin,William Friedkin,Al Pacino
Heaven's Gate,Michael Cimino,Michael Cimino,Kris Kristofferson
The Final Countdown,Don Taylor,Thomas Hunter,Kirk Douglas
Xanadu,Robert Greenwald,Richard Christian Danus,Olivia Newton-John
Brubaker,Stuart Rosenberg,W.D. Richter,Robert Redford
American Gigolo,Paul Schrader,Paul Schrader,Richard Gere
Cattle Annie and Little Britches,Lamont Johnson,David Eyre,Scott Glenn
Private Benjamin,Howard Zieff,Nancy Meyers,Goldie Hawn
The Hollywood Knights,Floyd Mutrux,Floyd Mutrux,Tony Danza
Motel Hell,Kevin Connor,Robert Jaffe,Rory Calhoun
The Stunt Man,Richard Rush,Lawrence B. Marcus,Peter O'Toole
The Island,Michael Ritchie,Peter Benchley,Michael Caine
The Nude Bomb,Clive Donner,Mel Brooks,Don Adams
Stardust Memories,Woody Allen,Woody Allen,Woody Allen
Melvin and Howard,Jonathan Demme,Bo Goldman,Paul Le Mat
Bronco Billy,Clint Eastwood,Dennis Hackin,Clint Eastwood
When Time Ran Out...,James Goldstone,Gordon Thomas,Paul Newman
Oh Heavenly Dog,Joe Camp,Rod Browning,Chevy Chase
The Octagon,Eric Karson,Leigh Chapman,Chuck Norris
The Last Flight of Noah's Ark,Charles Jarrott,Ernest K. Gann,Elliott Gould
Willie & Phil,Paul Mazursky,Jean Gruault,Michael Ontkean
Phobia,John Huston,Gary Sherman,Paul Michael Glaser
Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,Lawrence Kasdan,Harrison Ford
An American Werewolf in London,John Landis,John Landis,David Naughton
Escape from New York,John Carpenter,John Carpenter,Kurt Russell
The Evil Dead,Sam Raimi,Sam Raimi,Bruce Campbell
Porky's,Bob Clark,Bob Clark,Dan Monahan
Blow Out,Brian De Palma,Brian De Palma,John Travolta
Clash of the Titans,Desmond Davis,Beverley Cross,Laurence Olivier
Excalibur,John Boorman,Thomas Malory,Nigel Terry
Mad Max 2,George Miller,Terry Hayes,Mel Gibson
Stripes,Ivan Reitman,Len Blum,Bill Murray
The Cannonball Run,Hal Needham,Brock Yates,Burt Reynolds
Thief,Michael Mann,Frank Hohimer,James Caan
Time Bandits,Terry Gilliam,Michael Palin,Sean Connery
Friday the 13th Part 2,Steve Miner,Ron Kurz,Betsy Palmer
