name,score,votes,budget,gross
The Shining,8.4,927000.0,19000000.0,46998772.0
The Blue Lagoon,5.8,65000.0,4500000.0,58853106.0
Star Wars: Episode V - The Empire Strikes Back,8.7,1200000.0,18000000.0,538375067.0
Airplane!,7.7,221000.0,3500000.0,83453539.0
Caddyshack,7.3,108000.0,6000000.0,39846344.0
Friday the 13th,6.4,123000.0,550000.0,39754601.0
The Blues Brothers,7.9,188000.0,27000000.0,115229890.0
Raging Bull,8.2,330000.0,18000000.0,23402427.0
Superman II,6.8,101000.0,54000000.0,108185706.0
The Long Riders,7.0,10000.0,10000000.0,15795189.0
Any Which Way You Can,6.1,18000.0,15000000.0,70687344.0
The Gods Must Be Crazy,7.3,54000.0,5000000.0,30031783.0
Popeye,5.3,30000.0,20000000.0,49823037.0
Ordinary People,7.7,49000.0,6000000.0,54766923.0
Dressed to Kill,7.1,37000.0,6500000.0,31899000.0
Somewhere in Time,7.2,27000.0,5100000.0,9709597.0
9 to 5,6.9,29000.0,10000000.0,103300686.0
The Fog,6.8,66000.0,1000000.0,21448782.0
Cruising,6.5,20000.0,11000000.0,19814523.0
Heaven's Gate,6.8,14000.0,44000000.0,3484523.0
The Final Countdown,6.7,22000.0,12000000.0,16647800.0
Xanadu,5.3,12000.0,20000000.0,22762571.0
Brubaker,7.2,17000.0,9000000.0,37121708.0
American Gigolo,6.2,22000.0,4800000.0,22743674.0
Cattle Annie and Little Britches,6.1,604.0,5100000.0,534816.0
Private Benjamin,6.2,24000.0,10000000.0,69847348.0
The Hollywood Knights,6.3,4300.0,4000000.0,10000000.0
Motel Hell,6.0,11000.0,3000000.0,6342668.0
The Stunt Man,7.1,9000.0,3500000.0,7063886.0
The Island,5.3,3900.0,22000000.0,15716828.0
The Nude Bomb,5.1,3100.0,15000000.0,14662035.0
Stardust Memories,7.3,22000.0,10000000.0,10389003.0
Melvin and Howard,6.8,4500.0,7000000.0,4309490.0
Bronco Billy,6.1,11000.0,6500000.0,24265659.0
When Time Ran Out...,4.6,2600.0,20000000.0,3763988.0
Oh Heavenly Dog,5.4,2400.0,6000000.0,6216067.0
The Octagon,5.1,5200.0,4000000.0,18971000.0
The Last Flight of Noah's Ark,5.8,1300.0,6000000.0,11000000.0
Willie & Phil,5.9,415.0,5500000.0,4400000.0
Phobia,4.0,546.0,5100000.0,59167.0
Indiana Jones and the Raiders of the Lost Ark,8.4,905000.0,18000000.0,389925971.0
An American Werewolf in London,7.5,97000.0,10000000.0,30669378.0
